=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
palace-a-gogo                                          https://swanpass.com/listing/palace-a-gogo                       221     221     221  PASS
shark                                                  https://swanpass.com/listing/shark                                15      15      15  PASS
penthouse-spa                                          https://swanpass.com/listing/penthouse-spa                        11      11      11  PASS
69-nuru-massage-chiang-mai                             https://swanpass.com/listing/69-nuru-massage-chiang-mai           20       0      20  PASS
3-angels-bar-soi-6                                     https://swanpass.com/listing/3-angels-bar-soi-6                   13      13      13  PASS
relax-kan                                              https://swanpass.com/listing/relax-kan                             4       4       4  PASS
pannarai                                               https://swanpass.com/listing/pannarai                            148     148     148  PASS
asoke-first-class                                      https://swanpass.com/listing/asoke-first-class                     5       5       5  PASS
lux-spa                                                https://swanpass.com/listing/lux-spa                               0       0       0  PASS
celeb-shower-massage                                   https://swanpass.com/listing/celeb-shower-massage                  0       0       0  PASS
k-avenue                                               https://swanpass.com/listing/k-avenue                              1       1       1  PASS
whiskey-gogo                                           https://swanpass.com/listing/whiskey-gogo                          0       0       0  PASS
badabing                                               https://swanpass.com/listing/badabing                            169     169     169  PASS
chicky-spa                                             https://swanpass.com/listing/chicky-spa                            0       0       0  PASS
the-one                                                https://swanpass.com/listing/the-one                               0       0       0  PASS
angelwitch                                             https://swanpass.com/listing/angelwitch                           75      75      75  PASS
pegasus-spa                                            https://swanpass.com/listing/pegasus-spa                           2       0       2  PASS
paradise-massage-26                                    https://swanpass.com/listing/paradise-massage-26                  50      50      50  PASS
hunny-bunny                                            https://swanpass.com/listing/hunny-bunny                          12      12      12  PASS
pink-spa                                               https://swanpass.com/listing/pink-spa                              6       6       6  PASS
venus                                                  https://swanpass.com/listing/venus                                20      20      20  PASS
2-peace                                                https://swanpass.com/listing/2-peace                               0       0       0  PASS
patpong                                                https://swanpass.com/listing/patpong                               0       0       0  PASS
aurora33                                               https://swanpass.com/listing/aurora33                              2       2       2  PASS
no-19                                                  https://swanpass.com/listing/no-19                                 0       0       0  PASS
erotic-massage-bangkok-bangkok                         https://swanpass.com/listing/erotic-massage-bangkok-bangkok       94      94      94  PASS
cancam                                                 https://swanpass.com/listing/cancam                               40      40      40  PASS
cbody-spa-club-bangkok                                 https://swanpass.com/listing/cbody-spa-club-bangkok               77      77      77  PASS
milking-table                                          https://swanpass.com/listing/milking-table                         0       0       0  PASS
relax-ratchaburi                                       https://swanpass.com/listing/relax-ratchaburi                      9       9       9  PASS
tilac                                                  https://swanpass.com/listing/tilac                               247     247     247  PASS
don-quixote                                            https://swanpass.com/listing/don-quixote                          34      34      34  PASS
my-bar                                                 https://swanpass.com/listing/my-bar                               28      28      28  PASS
butterfly                                              https://swanpass.com/listing/butterfly                             1       1       1  PASS
club-level-41-bangkok                                  https://swanpass.com/listing/club-level-41-bangkok                 2       0       2  PASS
la-belle                                               https://swanpass.com/listing/la-belle                              1       1       1  PASS
exotic-massage-bangkok-bangkok                         https://swanpass.com/listing/exotic-massage-bangkok-bangkok        2       2       2  PASS
entertain-karaoke                                      https://swanpass.com/listing/entertain-karaoke                    12      12      12  PASS
hwang-jae-relax-bangkok                                https://swanpass.com/listing/hwang-jae-relax-bangkok              35      35      35  PASS
thonglor-one-massage                                   https://swanpass.com/listing/thonglor-one-massage                 21      21      21  PASS
lunar-nuru-bangkok                                     https://swanpass.com/listing/lunar-nuru-bangkok                   47      47      47  PASS
rakuen                                                 https://swanpass.com/listing/rakuen                               16      16      16  PASS
riviere-77-bangkok                                     https://swanpass.com/listing/riviere-77-bangkok                   58      58      58  PASS
windmill-club                                          https://swanpass.com/listing/windmill-club                       387     387     387  PASS
lucy-nuru-massage-bangkok                              https://swanpass.com/listing/lucy-nuru-massage-bangkok             8       0       8  PASS
mimi-massage-bangkok                                   https://swanpass.com/listing/mimi-massage-bangkok                 28      28      28  PASS
lolita-s                                               https://swanpass.com/listing/lolita-s                            217     217     217  PASS
kram-spa-heaven69                                      https://swanpass.com/listing/kram-spa-heaven69                     0       0       0  PASS
annies                                                 https://swanpass.com/listing/annies                               55      55      55  PASS
polly-spa                                              https://swanpass.com/listing/polly-spa                            15      15      15  PASS
meeting-point                                          https://swanpass.com/listing/meeting-point                         1       1       1  PASS
lord-carnation                                         https://swanpass.com/listing/lord-carnation                        2       2       2  PASS
sherbet                                                https://swanpass.com/listing/sherbet                             107     107     107  PASS
